#,Q1,Q2,Q3,Q4,Q5,Q6,Q7
3_1_4,5.0,4.0,4.0,4.0,4.0,5.0,5.0
3_1_5,5.0,4.0,2.0,2.0,1.0,1.0,1.0
3_1_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3_2_1,3.0,2.0,3.0,3.0,4.0,5.0,2.0
3_2_2,3.0,2.0,2.0,2.0,5.0,5.0,3.0
3_2_3,4.0,2.0,3.0,3.0,4.0,5.0,3.0
3_2_4,4.0,3.0,2.0,2.0,4.0,5.0,4.0
3_2_5,4.0,4.0,2.0,2.0,4.0,4.0,3.0
3_2_6,4.0,3.0,3.0,3.0,5.0,5.0,4.0
3_3_1,4.0,3.0,2.0,2.0,4.0,5.0,2.0
3_3_2,2.0,1.0,2.0,2.0,4.0,5.0,1.0
3_3_3,3.0,4.0,3.0,3.0,5.0,4.0,3.0
3_3_4,4.0,3.0,1.0,1.0,4.0,5.0,2.0
3_3_5,4.0,4.0,3.0,3.0,5.0,4.0,3.0
3_3_6,5.0,4.0,5.0,5.0,4.0,5.0,5.0
3_4_1,4.0,3.0,4.0,4.0,5.0,5.0,4.0
3_4_2,4.0,4.0,3.0,3.0,4.0,5.0,4.0
3_4_3,3.0,3.0,2.0,2.0,5.0,5.0,3.0
3_4_4,4.0,4.0,3.0,3.0,5.0,4.0,3.0
3_4_5,4.0,3.0,2.0,2.0,4.0,5.0,3.0
3_4_6,4.0,3.0,4.0,4.0,5.0,5.0,3.0
3_5_1,3.0,4.0,2.0,2.0,4.0,4.0,3.0
3_5_2,2.0,3.0,3.0,3.0,4.0,5.0,4.0
3_5_3,1.0,2.0,2.0,2.0,5.0,3.0,3.0
3_5_4,2.0,2.0,1.0,1.0,5.0,5.0,2.0
3_5_5,3.0,3.0,2.0,2.0,5.0,5.0,3.0
3_5_6,4.0,5.0,4.0,4.0,5.0,5.0,4.0
4_1_1,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4_1_2,5.0,5.0,5.0,5.0,5.0,4.0,4.0
4_1_3,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4_1_4,2.0,5.0,5.0,5.0,5.0,5.0,5.0
4_1_5,1.0,2.0,1.0,1.0,2.0,2.0,3.0
4_1_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4_2_1,5.0,5.0,3.0,5.0,5.0,4.0,4.0
4_2_2,5.0,5.0,4.0,1.0,5.0,3.0,2.0
4_2_3,1.0,4.0,4.0,3.0,2.0,3.0,2.0
4_2_4,3.0,5.0,5.0,5.0,5.0,5.0,5.0
4_2_5,1.0,4.0,1.0,2.0,3.0,4.0,4.0
4_2_6,4.0,5.0,5.0,5.0,5.0,5.0,4.0
4_3_1,2.0,5.0,3.0,3.0,5.0,5.0,4.0
4_3_2,3.0,4.0,1.0,4.0,1.0,4.0,3.0
4_3_3,5.0,5.0,3.0,5.0,5.0,5.0,4.0
4_3_4,2.0,5.0,3.0,3.0,5.0,2.0,2.0
4_3_5,5.0,5.0,1.0,1.0,2.0,1.0,2.0
4_3_6,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4_4_1,2.0,5.0,2.0,2.0,2.0,3.0,4.0
4_4_2,1.0,5.0,1.0,1.0,3.0,1.0,3.0
4_4_3,1.0,5.0,1.0,1.0,3.0,1.0,2.0
4_4_4,1.0,5.0,1.0,1.0,5.0,2.0,5.0
4_4_5,1.0,5.0,1.0,2.0,2.0,1.0,1.0
4_4_6,2.0,5.0,3.0,3.0,4.0,4.0,4.0
4_5_1,1.0,5.0,1.0,1.0,3.0,3.0,2.0
4_5_2,4.0,5.0,2.0,1.0,1.0,1.0,2.0
4_5_3,2.0,3.0,2.0,2.0,1.0,1.0,1.0
4_5_4,1.0,5.0,1.0,1.0,2.0,1.0,2.0
4_5_5,1.0,5.0,1.0,1.0,2.0,3.0,1.0
4_5_6,1.0,5.0,3.0,5.0,4.0,4.0,4.0
5_1_1,2.0,4.0,4.0,4.0,5.0,5.0,2.0
5_1_2,2.0,4.0,5.0,5.0,5.0,5.0,4.0
5_1_3,2.0,4.0,4.0,4.0,2.0,3.0,1.0
5_1_4,2.0,4.0,4.0,4.0,5.0,5.0,4.0
5_1_5,2.0,5.0,1.0,1.0,1.0,1.0,1.0
5_1_6,2.0,2.0,5.0,5.0,4.0,5.0,4.0
5_2_1,2.0,2.0,4.0,4.0,4.0,4.0,2.0
5_2_2,2.0,4.0,3.0,4.0,4.0,4.0,2.0
5_2_3,1.0,1.0,4.0,4.0,4.0,5.0,4.0
5_2_4,3.0,2.0,5.0,3.0,4.0,5.0,3.0
5_2_5,2.0,3.0,2.0,4.0,4.0,1.0,2.0
5_2_6,2.0,3.0,5.0,5.0,5.0,2.0,3.0
5_3_1,2.0,3.0,4.0,4.0,5.0,4.0,3.0
5_3_2,3.0,2.0,3.0,2.0,4.0,4.0,2.0
5_3_3,2.0,3.0,2.0,2.0,3.0,2.0,2.0
5_3_4,2.0,2.0,2.0,2.0,1.0,1.0,1.0
5_3_5,2.0,3.0,2.0,2.0,1.0,2.0,1.0
5_3_6,3.0,2.0,5.0,5.0,5.0,5.0,4.0
5_4_1,2.0,2.0,4.0,4.0,4.0,3.0,2.0
5_4_2,2.0,3.0,2.0,3.0,3.0,2.0,2.0
5_4_3,2.0,4.0,3.0,3.0,4.0,3.0,2.0
5_4_4,2.0,3.0,2.0,2.0,3.0,2.0,1.0
5_4_5,2.0,2.0,2.0,2.0,3.0,2.0,2.0
5_4_6,2.0,4.0,2.0,2.0,4.0,4.0,2.0
5_5_1,2.0,2.0,3.0,3.0,3.0,3.0,2.0
5_5_2,2.0,2.0,2.0,2.0,2.0,2.0,1.0
